Date,Open,High,Low,Close,Adj Close,Volume
2015-03-03,31.285101,31.285101,30.708700,30.787001,23.428974,3806895
2015-03-04,30.601900,31.171301,30.409800,31.149900,23.705143,5229833
2015-03-05,31.242399,31.306499,30.993299,31.263800,23.791821,2243809
2015-03-08,31.206900,31.228201,30.915100,31.028900,23.613062,2883298
2015-03-09,31.171301,31.299400,30.865200,31.028900,23.613062,3276571
2015-03-10,30.715799,31.107201,30.637501,30.993299,23.585972,2422835
2015-03-11,31.014700,31.199699,30.907900,31.071600,23.645559,2434798
2015-03-12,30.851000,30.979099,30.694500,30.851000,23.477680,2354479
2015-03-15,30.851000,31.114300,30.765600,30.936399,23.542669,2493706
2015-03-16,31.157000,31.370501,31.093000,31.263800,23.791821,2967096
2015-03-17,31.050301,31.256701,30.836800,31.242399,23.775536,3754416
2015-03-18,31.370501,31.562700,31.214001,31.349199,23.856813,5412310
2015-03-19,31.313601,31.754801,31.249599,31.441700,23.927200,7561980
2015-03-22,31.491501,31.569799,31.114300,31.306499,23.824314,2559914
2015-03-23,31.434601,31.626699,31.370501,31.470200,23.948896,1931747
2015-03-24,31.633900,31.633900,31.278000,31.363400,23.867615,2371673
2015-03-25,31.171301,31.235300,30.893700,30.893700,23.510174,3381434
2015-03-26,30.900801,31.367001,30.865200,31.363400,23.867615,4839556
2015-03-29,30.979099,31.228201,30.787001,30.972000,23.569761,2850547
2015-03-30,31.377701,31.576900,31.214001,31.285101,23.808033,2599680
2015-03-31,31.014700,31.171301,30.858101,30.993299,23.585972,3131315
2015-04-01,31.100100,31.100100,30.822500,30.964899,23.564358,2820060
2015-04-07,31.313601,31.463100,30.964899,31.000500,23.591450,3165671
2015-04-08,31.028900,31.334999,31.028900,31.206900,23.748520,2035934
2015-04-09,31.384800,31.384800,31.064501,31.114300,23.678053,2002375
2015-04-10,31.270901,31.662300,31.114300,31.598301,24.046377,2926252
2015-04-13,31.769100,31.811800,31.406099,31.470200,23.948896,1749226
2015-04-14,31.199699,31.299400,31.107201,31.171301,23.721428,2467736
2015-04-15,31.036100,31.135700,30.673100,30.851000,23.477680,3220374
2015-04-16,30.779900,31.050301,30.737200,31.036100,23.618542,3128765
2015-04-17,31.100100,31.149900,30.552099,30.601900,23.288113,3067786
2015-04-20,30.424000,30.445400,30.231899,30.253201,23.022755,1870293
2015-04-21,30.623301,30.673100,30.352800,30.416901,23.147327,1679720
2015-04-22,30.360001,30.402700,30.046801,30.210501,22.990257,2537327
2015-04-23,29.997000,30.110901,29.762199,29.982800,22.816977,2902044
2015-04-24,30.160700,30.381300,30.118000,30.338600,23.087742,4717082
2015-04-27,30.559200,30.779900,30.488100,30.722900,23.380196,1805670
2015-04-28,30.701599,30.950600,30.623301,30.708700,23.369389,3906864
